Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout error,Sqrt-x (sx) error,CNOT error
,5.114855847,59.77434655,84.95637377,3.67E-02,0.000631112,"cx0_14: 1.879e-2 , cx0_1: 1.585e-2 "
1,5.235717443,62.45198606,58.22162821,8.09E-02,0.000550663,"cx1_2: 1.141e-2 , cx1_0: 1.585e-2 , cx1_13: 4.120e-2 "
2,5.038461201,73.12959228,100.3754929,3.24E-02,0.000550371,"cx2_3: 2.143e-2 , cx2_1: 1.141e-2 , cx2_12: 4.467e-2 "
3,4.894588879,65.03388437,15.94056611,3.97E-02,0.000496278,"cx3_4: 2.897e-2 , cx3_2: 2.143e-2 , cx3_11: 3.837e-2 "
4,5.021576673,60.77346712,53.29632813,6.69E-02,0.000804274,"cx4_5: 4.628e-2 , cx4_3: 2.897e-2 , cx4_10: 3.956e-2 "
5,5.073088971,20.59158701,34.51765751,4.68E-02,0.002190044,"cx5_6: 6.623e-2 , cx5_4: 4.628e-2 , cx5_9: 4.715e-2 "
6,4.9294479,59.78977404,61.47713377,6.41E-02,0.002528845,"cx6_5: 6.623e-2 , cx6_8: 2.257e-2 "
7,4.982616911,37.92386473,14.78970748,5.40E-02,0.001877308,cx7_8: 2.739e-2 
8,4.751546063,95.18612641,85.77450109,9.76E-02,0.000545167,"cx8_9: 2.795e-2 , cx8_7: 2.739e-2 , cx8_6: 2.257e-2 "
9,4.97344677,35.94570628,54.39898413,7.93E-02,0.002125156,"cx9_10: 3.392e-2 , cx9_8: 2.795e-2 , cx9_5: 4.715e-2 "
10,4.944792247,56.11037738,65.95323993,3.46E-02,0.001536069,"cx10_11: 2.745e-2 , cx10_9: 3.392e-2 , cx10_4: 3.956e-2 "
11,4.997436413,53.82415543,69.73654754,1.87E-01,0.000584945,"cx11_12: 1.737e-2 , cx11_10: 2.745e-2 , cx11_3: 3.837e-2 "
12,4.763379912,81.95739548,50.89935687,1.41E-01,0.000503608,"cx12_13: 2.092e-2 , cx12_11: 1.737e-2 , cx12_2: 4.467e-2 "
13,4.974291667,30.99185589,30.76654361,1.02E-01,0.002053793,"cx13_12: 2.092e-2 , cx13_14: 3.732e-2 , cx13_1: 4.120e-2 "
14,5.006789802,48.81033352,59.04205139,7.86E-02,0.000551785,"cx14_0: 1.879e-2 , cx14_13: 3.732e-2 "
